net_name,run_id,driver_pin,driver_model,rx_pins,rx_model,n_rx,series_r,z0_avg,delay_ps,length_in,cap_pf,voh,vol,rise_time_ns,fall_time_ns,overshoot_pct,undershoot_pct,nmh,nml,peak_v,trough_v,gamma_source,settling_time_ns,notes
TR0_EXT_SYNC_P3V3,A,U128-1,HVD75_R,U128-4,HVD75_D,1,R426,45.0,414.6,2.742,9.2,3.295,0.005,10.08,9.12,1.4,1.6,1.295,0.795,3.342,-0.047,-0.295,11.99,Inbound: HVD75 R output → LVC8T245 (via R)
TR0_EXT_SYNC_P3V3,B,LVC8T245 via R426,LVC8T245_B,"U128-4,U128-1",HVD75_D,2,R426,45.0,414.6,2.742,9.2,3.297,0.003,1.13,0.8,12.0,17.8,1.297,0.797,3.694,-0.584,-0.5126,2.53,Outbound: LVC8T245 → HVD75 D input (via R)
TR10_EXT_SYNC_P3V3,A,U64-1,HVD75_R,U64-4,HVD75_D,1,R231,44.3,301.9,1.998,6.8,3.296,0.004,10.04,9.08,1.0,1.1,1.296,0.796,3.329,-0.033,-0.2878,11.99,Inbound: HVD75 R output → LVC8T245 (via R)
TR10_EXT_SYNC_P3V3,B,LVC8T245 via R231,LVC8T245_B,"U64-4,U64-1",HVD75_D,2,R231,44.3,301.9,1.998,6.8,3.298,0.002,1.27,0.98,11.9,11.7,1.298,0.798,3.69,-0.385,-0.5068,2.31,Outbound: LVC8T245 → HVD75 D input (via R)
TR11_EXT_SYNC_P3V3,A,U66-1,HVD75_R,U66-4,HVD75_D,1,R230,44.4,146.4,0.978,3.3,3.298,0.002,10.04,9.07,0.1,0.1,1.298,0.798,3.301,-0.001,-0.2888,11.99,Inbound: HVD75 R output → LVC8T245 (via R)
TR11_EXT_SYNC_P3V3,B,LVC8T245 via R230,LVC8T245_B,"U66-4,U66-1",HVD75_D,2,R230,44.4,146.4,0.978,3.3,3.299,0.001,1.42,1.15,1.1,1.4,1.299,0.799,3.336,-0.047,-0.5076,1.76,Outbound: LVC8T245 → HVD75 D input (via R)
TR12_EXT_SYNC_P3V3,A,U62-1,HVD75_R,U62-4,HVD75_D,1,R229,44.4,189.6,1.262,4.3,3.298,0.002,10.04,9.07,0.6,0.7,1.298,0.798,3.318,-0.02,-0.2888,11.88,Inbound: HVD75 R output → LVC8T245 (via R)
TR12_EXT_SYNC_P3V3,B,LVC8T245 via R229,LVC8T245_B,"U62-4,U62-1",HVD75_D,2,R229,44.4,189.6,1.262,4.3,3.299,0.001,1.3,1.03,7.0,8.2,1.299,0.799,3.528,-0.269,-0.5076,2.09,Outbound: LVC8T245 → HVD75 D input (via R)
TR13_EXT_SYNC_P3V3,A,U59-1,HVD75_R,U59-4,HVD75_D,1,R228,44.3,239.5,1.589,5.4,3.297,0.003,10.04,9.07,0.5,0.6,1.297,0.797,3.315,-0.017,-0.2878,11.99,Inbound: HVD75 R output → LVC8T245 (via R)
TR13_EXT_SYNC_P3V3,B,LVC8T245 via R228,LVC8T245_B,"U59-4,U59-1",HVD75_D,2,R228,44.3,239.5,1.589,5.4,3.298,0.002,1.31,1.07,5.5,7.9,1.298,0.798,3.479,-0.259,-0.5068,2.09,Outbound: LVC8T245 → HVD75 D input (via R)
TR14_EXT_SYNC_P3V3,A,U52-1,HVD75_R,U52-4,HVD75_D,1,R227,44.3,395.6,2.613,8.9,3.295,0.005,10.07,9.11,1.1,1.3,1.295,0.795,3.332,-0.036,-0.2878,12.1,Inbound: HVD75 R output → LVC8T245 (via R)
TR14_EXT_SYNC_P3V3,B,LVC8T245 via R227,LVC8T245_B,"U52-4,U52-1",HVD75_D,2,R227,44.3,395.6,2.613,8.9,3.297,0.003,1.24,0.88,9.5,11.9,1.297,0.797,3.611,-0.389,-0.5068,2.42,Outbound: LVC8T245 → HVD75 D input (via R)
TR15_EXT_SYNC_P3V3,A,U50-1,HVD75_R,U50-4,HVD75_D,1,R226,44.3,466.5,3.081,10.6,3.294,0.006,10.1,9.14,1.2,1.4,1.294,0.794,3.335,-0.039,-0.2878,12.1,Inbound: HVD75 R output → LVC8T245 (via R)
TR15_EXT_SYNC_P3V3,B,LVC8T245 via R226,LVC8T245_B,"U50-4,U50-1",HVD75_D,2,R226,44.3,466.5,3.081,10.6,3.297,0.003,1.13,0.8,9.6,17.7,1.297,0.797,3.614,-0.58,-0.5068,3.3,Outbound: LVC8T245 → HVD75 D input (via R)
TR16_EXT_SYNC_P3V3,A,U21-1,HVD75_R,U21-4,HVD75_D,1,R116,45.4,554.5,3.656,12.2,3.293,0.007,10.09,9.09,1.7,1.9,1.293,0.793,3.351,-0.057,-0.299,12.21,Inbound: HVD75 R output → LVC8T245 (via R)
TR16_EXT_SYNC_P3V3,B,LVC8T245 via R116,LVC8T245_B,"U21-4,U21-1",HVD75_D,2,R116,45.4,554.5,3.656,12.2,3.296,0.004,0.96,0.78,19.2,29.5,1.296,0.796,3.931,-0.97,-0.5159,4.51,Outbound: LVC8T245 → HVD75 D input (via R)
TR17_EXT_SYNC_P3V3,A,U23-1,HVD75_R,U23-4,HVD75_D,1,R115,45.0,500.7,3.301,11.1,3.294,0.006,10.11,9.12,1.5,1.7,1.294,0.794,3.344,-0.05,-0.295,12.1,Inbound: HVD75 R output → LVC8T245 (via R)
TR17_EXT_SYNC_P3V3,B,LVC8T245 via R115,LVC8T245_B,"U23-4,U23-1",HVD75_D,2,R115,45.0,500.7,3.301,11.1,3.296,0.004,1.03,0.78,14.4,23.6,1.296,0.796,3.771,-0.776,-0.5126,3.3,Outbound: LVC8T245 → HVD75 D input (via R)
TR18_EXT_SYNC_P3V3,A,U25-1,HVD75_R,U25-4,HVD75_D,1,R114,44.9,441.3,2.911,9.8,3.295,0.005,10.1,9.13,1.3,1.5,1.295,0.795,3.338,-0.043,-0.2939,12.1,Inbound: HVD75 R output → LVC8T245 (via R)
TR18_EXT_SYNC_P3V3,B,LVC8T245 via R114,LVC8T245_B,"U25-4,U25-1",HVD75_D,2,R114,44.9,441.3,2.911,9.8,3.297,0.003,1.13,0.8,9.9,17.8,1.297,0.797,3.625,-0.583,-0.5118,3.19,Outbound: LVC8T245 → HVD75 D input (via R)
