Signal,Driver,Receiver,Failures,Domain
TR38_EXT_SYNC_P3V3 (Run B),LVC8T245 via R22,"U139-4,U139-1",Peak=3.611V (>3.6),P3V3
TR39_EXT_SYNC_P3V3 (Run A),U8-1,U8-4,tr=10.09ns (>10.0),P3V3
TR39_EXT_SYNC_P3V3 (Run B),LVC8T245 via R17,"U8-4,U8-1",Peak=3.625V (>3.6); Trough=-0.580V (<-0.3),P3V3
TR3_EXT_SYNC_P3V3 (Run A),U113-1,U113-4,tr=10.04ns (>10.0),P3V3
TR40_EXT_SYNC_P3V3 (Run A),U61-1,U61-4,tr=10.04ns (>10.0),P3V3
TR41_EXT_SYNC_P3V3 (Run A),U57-1,U57-4,tr=10.04ns (>10.0),P3V3
TR42_EXT_SYNC_P3V3 (Run A),U51-1,U51-4,tr=10.04ns (>10.0),P3V3
TR43_EXT_SYNC_P3V3 (Run A),U49-1,U49-4,tr=10.04ns (>10.0),P3V3
TR44_EXT_SYNC_P3V3 (Run A),U54-1,U54-4,tr=10.04ns (>10.0),P3V3
TR45_EXT_SYNC_P3V3 (Run A),U56-1,U56-4,tr=10.04ns (>10.0),P3V3
TR46_EXT_SYNC_P3V3 (Run A),U63-1,U63-4,tr=10.04ns (>10.0),P3V3
TR47_EXT_SYNC_P3V3 (Run A),U65-1,U65-4,tr=10.04ns (>10.0),P3V3
TR48_EXT_SYNC_P3V3 (Run A),U101-1,U101-4,tr=10.07ns (>10.0),P3V3
TR48_EXT_SYNC_P3V3 (Run B),LVC8T245 via R490,"U101-4,U101-1",Peak=3.609V (>3.6),P3V3
TR49_EXT_SYNC_P3V3 (Run A),U99-1,U99-4,tr=10.08ns (>10.0),P3V3
TR49_EXT_SYNC_P3V3 (Run B),LVC8T245 via R486,"U99-4,U99-1",Peak=3.686V (>3.6); Trough=-0.398V (<-0.3),P3V3
TR4_EXT_SYNC_P3V3 (Run A),U106-1,U106-4,tr=10.04ns (>10.0),P3V3
TR50_EXT_SYNC_P3V3 (Run A),U97-1,U97-4,tr=10.11ns (>10.0),P3V3
TR50_EXT_SYNC_P3V3 (Run B),LVC8T245 via R485,"U97-4,U97-1",Peak=3.688V (>3.6); Trough=-0.577V (<-0.3),P3V3
