net_name,run_id,driver_pin,driver_model,rx_pins,rx_model,n_rx,series_r,z0_avg,delay_ps,length_in,cap_pf,voh,vol,rise_time_ns,fall_time_ns,overshoot_pct,undershoot_pct,nmh,nml,peak_v,trough_v,gamma_source,settling_time_ns,notes
TR36_EXT_SYNC_P1V8,A,U10-AU34,FPGA_LVCMOS18,LVC8T245 via R28,LVC8T245_18,1,R28,45.7,2609.0,17.02,57.1,1.605,0.195,0.28,0.24,0.0,0.0,0.337,0.382,1.605,0.195,0.4382,18.26,Outbound: FPGA → LVC8T245 A-port (via R)
TR36_EXT_SYNC_P1V8,B,LVC8T245 via R28,LVC8T245_18,U10-AU34,FPGA_LVCMOS18,1,R28,45.7,2609.0,17.02,57.1,1.757,0.043,2.29,1.88,29.9,29.9,0.587,0.587,2.295,-0.495,-0.3363,14.3,Inbound: LVC8T245 A-port → FPGA (via R)
TR37_EXT_SYNC_P1V8,A,U10-AU35,FPGA_LVCMOS18,LVC8T245 via R21,LVC8T245_18,1,R21,45.7,2581.0,16.848,56.5,1.609,0.191,0.28,0.24,0.0,0.0,0.341,0.386,1.609,0.191,0.4382,18.15,Outbound: FPGA → LVC8T245 A-port (via R)
TR37_EXT_SYNC_P1V8,B,LVC8T245 via R21,LVC8T245_18,U10-AU35,FPGA_LVCMOS18,1,R21,45.7,2581.0,16.848,56.5,1.758,0.042,2.29,1.88,30.0,30.0,0.588,0.588,2.297,-0.497,-0.3363,14.19,Inbound: LVC8T245 A-port → FPGA (via R)
TR38_EXT_SYNC_P1V8,A,U10-AV38,FPGA_LVCMOS18,LVC8T245 via R20,LVC8T245_18,1,R20,45.7,2576.0,16.812,56.4,1.609,0.191,0.28,0.24,0.0,0.0,0.341,0.386,1.609,0.191,0.4382,18.04,Outbound: FPGA → LVC8T245 A-port (via R)
TR38_EXT_SYNC_P1V8,B,LVC8T245 via R20,LVC8T245_18,U10-AV38,FPGA_LVCMOS18,1,R20,45.7,2576.0,16.812,56.4,1.758,0.042,2.29,1.88,30.0,30.0,0.588,0.588,2.297,-0.497,-0.3363,14.19,Inbound: LVC8T245 A-port → FPGA (via R)
TR39_EXT_SYNC_P1V8,A,U10-AW38,FPGA_LVCMOS18,LVC8T245 via R16,LVC8T245_18,1,R16,45.7,2556.0,16.679,55.9,1.609,0.191,0.28,0.24,0.0,0.0,0.341,0.386,1.609,0.191,0.4382,17.93,Outbound: FPGA → LVC8T245 A-port (via R)
TR39_EXT_SYNC_P1V8,B,LVC8T245 via R16,LVC8T245_18,U10-AW38,FPGA_LVCMOS18,1,R16,45.7,2556.0,16.679,55.9,1.758,0.042,2.29,1.88,30.0,30.0,0.588,0.588,2.297,-0.497,-0.3363,14.08,Inbound: LVC8T245 A-port → FPGA (via R)
TR3_EXT_SYNC_P1V8,A,U10-E13,FPGA_LVCMOS18,LVC8T245 via R441,LVC8T245_18,1,R441,45.4,756.2,4.955,16.7,1.741,0.059,4.66,4.65,0.0,0.0,0.473,0.518,1.741,0.059,0.4409,5.72,Outbound: FPGA → LVC8T245 A-port (via R)
TR3_EXT_SYNC_P1V8,B,LVC8T245 via R441,LVC8T245_18,U10-E13,FPGA_LVCMOS18,1,R441,45.4,756.2,4.955,16.7,1.788,0.012,2.67,2.06,7.8,9.0,0.618,0.618,1.928,-0.15,-0.3333,4.95,Inbound: LVC8T245 A-port → FPGA (via R)
TR40_EXT_SYNC_P1V8,A,U10-BE38,FPGA_LVCMOS18,LVC8T245 via R251,LVC8T245_18,1,R251,46.0,988.3,6.466,21.5,1.723,0.077,6.04,6.02,0.0,0.0,0.456,0.501,1.723,0.077,0.4356,7.15,Outbound: FPGA → LVC8T245 A-port (via R)
TR40_EXT_SYNC_P1V8,B,LVC8T245 via R251,LVC8T245_18,U10-BE38,FPGA_LVCMOS18,1,R251,46.0,988.3,6.466,21.5,1.784,0.016,2.47,1.87,10.7,15.4,0.614,0.614,1.976,-0.261,-0.3392,5.39,Inbound: LVC8T245 A-port → FPGA (via R)
TR41_EXT_SYNC_P1V8,A,U10-BF38,FPGA_LVCMOS18,LVC8T245 via R250,LVC8T245_18,1,R250,45.9,978.3,6.408,21.3,1.723,0.077,6.04,6.02,0.0,0.0,0.456,0.501,1.723,0.077,0.4365,7.15,Outbound: FPGA → LVC8T245 A-port (via R)
TR41_EXT_SYNC_P1V8,B,LVC8T245 via R250,LVC8T245_18,U10-BF38,FPGA_LVCMOS18,1,R250,45.9,978.3,6.408,21.3,1.784,0.016,2.47,1.87,10.6,15.4,0.614,0.614,1.976,-0.261,-0.3382,5.39,Inbound: LVC8T245 A-port → FPGA (via R)
