diff_pair_name,net_name,leg,driver_refdes,driver_pin,connector_pin,load_label,z0_pcb,z0_cable,delay_pcb_ps,delay_cable_ns,length_pcb_in,cable_length_ft,voh,vol,rise_time_ns,fall_time_ns,overshoot_pct,undershoot_pct,peak_v,trough_v,gamma_source,settling_time_ns,r_term_diff,r_term_se,notes
TR13_EXT_SYNC,TR13_EXT_SYNC_P,P,U59,U59-6,J1-B7,Load R-1,103.6,120.0,254.9,4.62,1.795,3.0,2.65,0.024,14.7,16.04,0.0,0.4,2.626,0.011,-0.747,25.83,124.0,62.0,A pin (non-inverting) → J1-B7 → 3ft cable → 124Ω
TR13_EXT_SYNC,TR13_EXT_SYNC_N,N,U59,U59-7,J1-B8,Load R-2,103.6,120.0,254.9,4.62,1.795,3.0,2.661,0.007,14.8,16.16,0.0,0.6,2.663,-0.012,-0.747,25.83,124.0,62.0,B pin (inverting) → J1-B8 → 3ft cable → 124Ω
TR14_EXT_SYNC,TR14_EXT_SYNC_P,P,U52,U52-6,J1-B4,Load R-1,104.0,120.0,228.5,4.62,1.611,3.0,2.625,0.016,14.62,15.93,0.9,0.8,2.654,-0.011,-0.7479,25.75,124.0,62.0,A pin (non-inverting) → J1-B4 → 3ft cable → 124Ω
TR14_EXT_SYNC,TR14_EXT_SYNC_N,N,U52,U52-7,J1-B5,Load R-2,104.0,120.0,228.5,4.62,1.611,3.0,2.636,0.008,14.65,15.96,0.4,0.4,2.65,-0.006,-0.7479,25.75,124.0,62.0,B pin (inverting) → J1-B5 → 3ft cable → 124Ω
TR15_EXT_SYNC,TR15_EXT_SYNC_P,P,U50,U50-6,J1-B2,Load R-1,103.7,120.0,261.8,4.62,1.842,3.0,2.643,0.013,14.92,15.99,0.0,0.8,2.633,-0.013,-0.7473,25.87,124.0,62.0,A pin (non-inverting) → J1-B2 → 3ft cable → 124Ω
TR15_EXT_SYNC,TR15_EXT_SYNC_N,N,U50,U50-7,J1-B1,Load R-2,103.7,120.0,261.8,4.62,1.842,3.0,2.636,0.006,14.97,15.91,0.3,0.1,2.646,0.004,-0.7473,25.87,124.0,62.0,B pin (inverting) → J1-B1 → 3ft cable → 124Ω
TR16_EXT_SYNC,TR16_EXT_SYNC_P,P,U21,U21-6,J2-C1,Load R-1,104.3,120.0,214.7,4.62,1.515,3.0,2.636,-0.009,14.7,16.09,0.6,0.0,2.654,-0.003,-0.7485,25.71,124.0,62.0,A pin (non-inverting) → J2-C1 → 3ft cable → 124Ω
TR16_EXT_SYNC,TR16_EXT_SYNC_N,N,U21,U21-7,J2-C2,Load R-2,104.3,120.0,214.7,4.62,1.515,3.0,2.648,0.011,14.82,16.0,0.2,0.0,2.653,0.013,-0.7485,25.71,124.0,62.0,B pin (inverting) → J2-C2 → 3ft cable → 124Ω
TR17_EXT_SYNC,TR17_EXT_SYNC_P,P,U23,U23-6,J2-C4,Load R-1,104.6,120.0,181.5,4.62,1.285,3.0,2.639,0.003,14.55,15.93,0.0,0.3,2.631,-0.007,-0.7492,25.59,124.0,62.0,A pin (non-inverting) → J2-C4 → 3ft cable → 124Ω
TR17_EXT_SYNC,TR17_EXT_SYNC_N,N,U23,U23-7,J2-C5,Load R-2,104.6,120.0,181.5,4.62,1.285,3.0,2.66,-0.002,14.71,15.94,0.0,0.0,2.625,0.019,-0.7492,25.59,124.0,62.0,B pin (inverting) → J2-C5 → 3ft cable → 124Ω
TR18_EXT_SYNC,TR18_EXT_SYNC_P,P,U25,U25-6,J2-C7,Load R-1,104.4,120.0,204.8,4.62,1.447,3.0,2.637,-0.013,14.86,16.09,0.0,0.0,2.63,-0.013,-0.7487,25.69,124.0,62.0,A pin (non-inverting) → J2-C7 → 3ft cable → 124Ω
TR18_EXT_SYNC,TR18_EXT_SYNC_N,N,U25,U25-7,J2-C8,Load R-2,104.4,120.0,204.8,4.62,1.447,3.0,2.66,0.006,14.79,16.06,0.0,0.4,2.635,-0.009,-0.7487,25.69,124.0,62.0,B pin (inverting) → J2-C8 → 3ft cable → 124Ω
TR19_EXT_SYNC,TR19_EXT_SYNC_P,P,U28,U28-6,J2-C10,Load R-1,103.9,120.0,257.8,4.62,1.813,3.0,2.661,-0.007,14.91,16.05,0.0,0.0,2.656,0.021,-0.7477,25.85,124.0,62.0,A pin (non-inverting) → J2-C10 → 3ft cable → 124Ω
TR19_EXT_SYNC,TR19_EXT_SYNC_N,N,U28,U28-7,J2-C11,Load R-2,103.9,120.0,257.8,4.62,1.813,3.0,2.648,-0.008,14.85,15.93,0.0,0.0,2.624,0.012,-0.7477,25.85,124.0,62.0,B pin (inverting) → J2-C11 → 3ft cable → 124Ω
TR20_EXT_SYNC,TR20_EXT_SYNC_P,P,U27,U27-6,J2-B11,Load R-1,103.5,120.0,313.6,4.62,2.198,3.0,2.656,-0.002,14.88,16.25,0.0,0.2,2.642,-0.01,-0.7468,26.02,124.0,62.0,A pin (non-inverting) → J2-B11 → 3ft cable → 124Ω
TR20_EXT_SYNC,TR20_EXT_SYNC_N,N,U27,U27-7,J2-B10,Load R-2,103.5,120.0,313.6,4.62,2.198,3.0,2.637,0.008,14.9,16.05,0.5,0.0,2.653,0.015,-0.7468,26.02,124.0,62.0,B pin (inverting) → J2-B10 → 3ft cable → 124Ω
TR21_EXT_SYNC,TR21_EXT_SYNC_P,P,U24,U24-6,J2-B7,Load R-1,103.6,120.0,254.9,4.62,1.795,3.0,2.637,0.014,14.75,15.92,0.1,0.3,2.641,0.005,-0.747,25.83,124.0,62.0,A pin (non-inverting) → J2-B7 → 3ft cable → 124Ω
TR21_EXT_SYNC,TR21_EXT_SYNC_N,N,U24,U24-7,J2-B8,Load R-2,103.6,120.0,254.9,4.62,1.795,3.0,2.629,0.007,14.82,16.17,0.6,0.0,2.649,0.009,-0.747,25.83,124.0,62.0,B pin (inverting) → J2-B8 → 3ft cable → 124Ω
TR22_EXT_SYNC,TR22_EXT_SYNC_P,P,U22,U22-6,J2-B4,Load R-1,104.0,120.0,228.7,4.62,1.613,3.0,2.652,0.002,14.69,16.05,0.0,0.1,2.63,-0.003,-0.7479,25.75,124.0,62.0,A pin (non-inverting) → J2-B4 → 3ft cable → 124Ω
TR22_EXT_SYNC,TR22_EXT_SYNC_N,N,U22,U22-7,J2-B5,Load R-2,104.0,120.0,228.7,4.62,1.613,3.0,2.655,-0.013,14.9,16.06,0.0,0.0,2.626,-0.01,-0.7479,25.75,124.0,62.0,B pin (inverting) → J2-B5 → 3ft cable → 124Ω
TR23_EXT_SYNC,TR23_EXT_SYNC_P,P,U19,U19-6,J2-B2,Load R-1,103.7,120.0,261.8,4.62,1.842,3.0,2.642,-0.012,14.67,16.09,0.0,0.0,2.626,0.008,-0.7473,25.87,124.0,62.0,A pin (non-inverting) → J2-B2 → 3ft cable → 124Ω
TR23_EXT_SYNC,TR23_EXT_SYNC_N,N,U19,U19-7,J2-B1,Load R-2,103.7,120.0,261.8,4.62,1.842,3.0,2.66,0.009,14.72,15.99,0.0,0.0,2.66,0.017,-0.7473,25.87,124.0,62.0,B pin (inverting) → J2-B1 → 3ft cable → 124Ω
TR24_EXT_SYNC,TR24_EXT_SYNC_P,P,U1,U1-6,J3-C1,Load R-1,104.3,120.0,214.7,4.62,1.515,3.0,2.656,0.004,14.61,16.09,0.0,0.3,2.655,-0.007,-0.7485,25.71,124.0,62.0,A pin (non-inverting) → J3-C1 → 3ft cable → 124Ω
TR24_EXT_SYNC,TR24_EXT_SYNC_N,N,U1,U1-7,J3-C2,Load R-2,104.3,120.0,214.7,4.62,1.515,3.0,2.636,0.02,14.66,16.06,0.0,0.0,2.634,0.026,-0.7485,25.71,124.0,62.0,B pin (inverting) → J3-C2 → 3ft cable → 124Ω
TR25_EXT_SYNC,TR25_EXT_SYNC_P,P,U5,U5-6,J3-C4,Load R-1,104.6,120.0,181.5,4.62,1.285,3.0,2.636,0.01,14.73,16.04,0.3,0.0,2.645,0.019,-0.7492,25.59,124.0,62.0,A pin (non-inverting) → J3-C4 → 3ft cable → 124Ω
TR25_EXT_SYNC,TR25_EXT_SYNC_N,N,U5,U5-7,J3-C5,Load R-2,104.6,120.0,181.5,4.62,1.285,3.0,2.651,0.011,14.78,15.89,0.0,0.1,2.628,0.009,-0.7492,25.59,124.0,62.0,B pin (inverting) → J3-C5 → 3ft cable → 124Ω
TR26_EXT_SYNC,TR26_EXT_SYNC_P,P,U140,U140-6,J3-C7,Load R-1,104.4,120.0,204.8,4.62,1.447,3.0,2.647,0.006,14.76,15.97,0.4,0.2,2.659,-0.0,-0.7487,25.69,124.0,62.0,A pin (non-inverting) → J3-C7 → 3ft cable → 124Ω
TR26_EXT_SYNC,TR26_EXT_SYNC_N,N,U140,U140-7,J3-C8,Load R-2,104.4,120.0,204.8,4.62,1.447,3.0,2.64,-0.013,14.66,15.95,0.1,0.0,2.642,0.024,-0.7487,25.69,124.0,62.0,B pin (inverting) → J3-C8 → 3ft cable → 124Ω
TR27_EXT_SYNC,TR27_EXT_SYNC_P,P,U18,U18-6,J3-C10,Load R-1,103.9,120.0,257.5,4.62,1.811,3.0,2.659,0.012,14.76,15.88,0.0,0.0,2.652,0.013,-0.7477,25.84,124.0,62.0,A pin (non-inverting) → J3-C10 → 3ft cable → 124Ω
TR27_EXT_SYNC,TR27_EXT_SYNC_N,N,U18,U18-7,J3-C11,Load R-2,103.9,120.0,257.5,4.62,1.811,3.0,2.642,0.017,14.7,15.94,0.0,0.4,2.627,0.004,-0.7477,25.84,124.0,62.0,B pin (inverting) → J3-C11 → 3ft cable → 124Ω
TR28_EXT_SYNC,TR28_EXT_SYNC_P,P,U20,U20-6,J3-B11,Load R-1,103.5,120.0,297.4,4.62,2.087,3.0,2.638,0.017,14.9,16.17,0.0,0.9,2.627,-0.012,-0.7468,25.96,124.0,62.0,A pin (non-inverting) → J3-B11 → 3ft cable → 124Ω
TR28_EXT_SYNC,TR28_EXT_SYNC_N,N,U20,U20-7,J3-B10,Load R-2,103.5,120.0,297.4,4.62,2.087,3.0,2.628,0.019,14.79,16.06,0.1,0.1,2.631,0.017,-0.7468,25.96,124.0,62.0,B pin (inverting) → J3-B10 → 3ft cable → 124Ω
TR29_EXT_SYNC,TR29_EXT_SYNC_P,P,U14,U14-6,J3-B7,Load R-1,103.6,120.0,254.9,4.62,1.795,3.0,2.653,0.01,14.72,16.01,0.0,0.0,2.63,0.014,-0.747,25.83,124.0,62.0,A pin (non-inverting) → J3-B7 → 3ft cable → 124Ω
TR29_EXT_SYNC,TR29_EXT_SYNC_N,N,U14,U14-7,J3-B8,Load R-2,103.6,120.0,254.9,4.62,1.795,3.0,2.642,0.023,14.82,16.07,0.0,0.7,2.638,-0.0,-0.747,25.83,124.0,62.0,B pin (inverting) → J3-B8 → 3ft cable → 124Ω
TR30_EXT_SYNC,TR30_EXT_SYNC_P,P,U6,U6-6,J3-B4,Load R-1,104.0,120.0,228.7,4.62,1.613,3.0,2.66,-0.008,14.82,15.9,0.0,0.0,2.637,0.018,-0.7479,25.75,124.0,62.0,A pin (non-inverting) → J3-B4 → 3ft cable → 124Ω
TR30_EXT_SYNC,TR30_EXT_SYNC_N,N,U6,U6-7,J3-B5,Load R-2,104.0,120.0,228.7,4.62,1.613,3.0,2.655,-0.007,14.83,16.06,0.0,0.0,2.637,-0.003,-0.7479,25.75,124.0,62.0,B pin (inverting) → J3-B5 → 3ft cable → 124Ω
TR31_EXT_SYNC,TR31_EXT_SYNC_P,P,U2,U2-6,J3-B2,Load R-1,103.7,120.0,261.8,4.62,1.842,3.0,2.627,0.002,14.75,16.07,0.4,0.4,2.64,-0.013,-0.7473,25.87,124.0,62.0,A pin (non-inverting) → J3-B2 → 3ft cable → 124Ω
TR31_EXT_SYNC,TR31_EXT_SYNC_N,N,U2,U2-7,J3-B1,Load R-2,103.7,120.0,261.8,4.62,1.842,3.0,2.641,0.0,14.92,16.14,0.3,0.0,2.651,0.023,-0.7473,25.87,124.0,62.0,B pin (inverting) → J3-B1 → 3ft cable → 124Ω
TR32_EXT_SYNC,TR32_EXT_SYNC_P,P,U3,U3-6,J4-C1,Load R-1,104.3,120.0,214.7,4.62,1.515,3.0,2.662,0.003,14.83,15.97,0.0,0.3,2.641,-0.006,-0.7485,25.71,124.0,62.0,A pin (non-inverting) → J4-C1 → 3ft cable → 124Ω
TR32_EXT_SYNC,TR32_EXT_SYNC_N,N,U3,U3-7,J4-C2,Load R-2,104.3,120.0,214.7,4.62,1.515,3.0,2.66,0.02,14.8,16.06,0.0,0.0,2.625,0.024,-0.7485,25.71,124.0,62.0,B pin (inverting) → J4-C2 → 3ft cable → 124Ω
TR33_EXT_SYNC,TR33_EXT_SYNC_P,P,U137,U137-6,J4-C4,Load R-1,104.6,120.0,181.5,4.62,1.285,3.0,2.657,-0.011,14.83,15.79,0.0,0.0,2.638,0.009,-0.7492,25.59,124.0,62.0,A pin (non-inverting) → J4-C4 → 3ft cable → 124Ω
TR33_EXT_SYNC,TR33_EXT_SYNC_N,N,U137,U137-7,J4-C5,Load R-2,104.6,120.0,181.5,4.62,1.285,3.0,2.661,0.027,14.83,16.01,0.1,0.8,2.663,0.002,-0.7492,25.59,124.0,62.0,B pin (inverting) → J4-C5 → 3ft cable → 124Ω
TR34_EXT_SYNC,TR34_EXT_SYNC_P,P,U9,U9-6,J4-C7,Load R-1,104.4,120.0,204.8,4.62,1.447,3.0,2.658,-0.008,14.73,15.93,0.1,0.0,2.663,0.0,-0.7487,25.69,124.0,62.0,A pin (non-inverting) → J4-C7 → 3ft cable → 124Ω
TR34_EXT_SYNC,TR34_EXT_SYNC_N,N,U9,U9-7,J4-C8,Load R-2,104.4,120.0,204.8,4.62,1.447,3.0,2.647,-0.001,14.59,16.1,0.0,0.0,2.647,0.017,-0.7487,25.69,124.0,62.0,B pin (inverting) → J4-C8 → 3ft cable → 124Ω
TR35_EXT_SYNC,TR35_EXT_SYNC_P,P,U13,U13-6,J4-C10,Load R-1,103.9,120.0,257.7,4.62,1.813,3.0,2.63,0.016,14.9,16.07,0.4,0.7,2.643,-0.007,-0.7477,25.85,124.0,62.0,A pin (non-inverting) → J4-C10 → 3ft cable → 124Ω
TR35_EXT_SYNC,TR35_EXT_SYNC_N,N,U13,U13-7,J4-C11,Load R-2,103.9,120.0,257.7,4.62,1.813,3.0,2.654,-0.006,14.79,15.91,0.0,0.0,2.624,0.013,-0.7477,25.85,124.0,62.0,B pin (inverting) → J4-C11 → 3ft cable → 124Ω
TR36_EXT_SYNC,TR36_EXT_SYNC_P,P,U16,U16-6,J4-B11,Load R-1,103.5,120.0,302.7,4.62,2.124,3.0,2.622,0.018,14.77,16.16,0.4,0.0,2.634,0.025,-0.7468,25.99,124.0,62.0,A pin (non-inverting) → J4-B11 → 3ft cable → 124Ω
TR36_EXT_SYNC,TR36_EXT_SYNC_N,N,U16,U16-7,J4-B10,Load R-2,103.5,120.0,302.7,4.62,2.124,3.0,2.644,0.023,14.78,16.17,0.0,0.3,2.634,0.013,-0.7468,25.99,124.0,62.0,B pin (inverting) → J4-B10 → 3ft cable → 124Ω
TR37_EXT_SYNC,TR37_EXT_SYNC_P,P,U15,U15-6,J4-B7,Load R-1,103.6,120.0,254.9,4.62,1.795,3.0,2.631,-0.006,14.72,15.96,0.2,0.0,2.637,0.007,-0.747,25.83,124.0,62.0,A pin (non-inverting) → J4-B7 → 3ft cable → 124Ω
TR37_EXT_SYNC,TR37_EXT_SYNC_N,N,U15,U15-7,J4-B8,Load R-2,103.6,120.0,254.9,4.62,1.795,3.0,2.65,0.021,14.85,16.08,0.3,0.2,2.658,0.013,-0.747,25.83,124.0,62.0,B pin (inverting) → J4-B8 → 3ft cable → 124Ω
TR38_EXT_SYNC,TR38_EXT_SYNC_P,P,U139,U139-6,J4-B4,Load R-1,104.0,120.0,228.7,4.62,1.613,3.0,2.663,0.007,14.79,15.98,0.0,0.3,2.632,-0.002,-0.7479,25.75,124.0,62.0,A pin (non-inverting) → J4-B4 → 3ft cable → 124Ω
TR38_EXT_SYNC,TR38_EXT_SYNC_N,N,U139,U139-7,J4-B5,Load R-2,104.0,120.0,228.7,4.62,1.613,3.0,2.637,0.009,14.75,16.07,0.4,0.7,2.649,-0.013,-0.7479,25.75,124.0,62.0,B pin (inverting) → J4-B5 → 3ft cable → 124Ω
TR39_EXT_SYNC,TR39_EXT_SYNC_P,P,U8,U8-6,J4-B2,Load R-1,103.7,120.0,261.8,4.62,1.842,3.0,2.638,0.01,14.81,16.1,0.0,0.3,2.627,-0.0,-0.7473,25.87,124.0,62.0,A pin (non-inverting) → J4-B2 → 3ft cable → 124Ω
TR39_EXT_SYNC,TR39_EXT_SYNC_N,N,U8,U8-7,J4-B1,Load R-2,103.7,120.0,261.8,4.62,1.842,3.0,2.644,0.017,14.68,16.17,0.0,0.0,2.645,0.015,-0.7473,25.87,124.0,62.0,B pin (inverting) → J4-B1 → 3ft cable → 124Ω
TR40_EXT_SYNC,TR40_EXT_SYNC_P,P,U61,U61-6,J5-C1,Load R-1,104.3,120.0,214.7,4.62,1.515,3.0,2.659,0.018,14.74,16.11,0.0,0.7,2.627,-0.004,-0.7485,25.71,124.0,62.0,A pin (non-inverting) → J5-C1 → 3ft cable → 124Ω
TR40_EXT_SYNC,TR40_EXT_SYNC_N,N,U61,U61-7,J5-C2,Load R-2,104.3,120.0,214.7,4.62,1.515,3.0,2.642,0.012,14.85,15.96,0.0,0.0,2.628,0.025,-0.7485,25.71,124.0,62.0,B pin (inverting) → J5-C2 → 3ft cable → 124Ω
TR41_EXT_SYNC,TR41_EXT_SYNC_P,P,U57,U57-6,J5-C4,Load R-1,104.6,120.0,181.5,4.62,1.285,3.0,2.641,0.006,14.55,15.81,0.4,0.2,2.653,-0.002,-0.7492,25.59,124.0,62.0,A pin (non-inverting) → J5-C4 → 3ft cable → 124Ω
TR41_EXT_SYNC,TR41_EXT_SYNC_N,N,U57,U57-7,J5-C5,Load R-2,104.6,120.0,181.5,4.62,1.285,3.0,2.633,0.022,14.7,15.99,0.1,0.4,2.636,0.008,-0.7492,25.59,124.0,62.0,B pin (inverting) → J5-C5 → 3ft cable → 124Ω
TR42_EXT_SYNC,TR42_EXT_SYNC_P,P,U51,U51-6,J5-C7,Load R-1,104.4,120.0,204.8,4.62,1.447,3.0,2.655,0.008,14.65,16.0,0.0,0.0,2.63,0.023,-0.7487,25.69,124.0,62.0,A pin (non-inverting) → J5-C7 → 3ft cable → 124Ω
TR42_EXT_SYNC,TR42_EXT_SYNC_N,N,U51,U51-7,J5-C8,Load R-2,104.4,120.0,204.8,4.62,1.447,3.0,2.65,0.018,14.87,15.95,0.0,0.5,2.643,0.001,-0.7487,25.69,124.0,62.0,B pin (inverting) → J5-C8 → 3ft cable → 124Ω
TR43_EXT_SYNC,TR43_EXT_SYNC_P,P,U49,U49-6,J5-C10,Load R-1,103.9,120.0,257.7,4.62,1.812,3.0,2.644,0.011,14.88,15.97,0.0,0.7,2.641,-0.012,-0.7477,25.85,124.0,62.0,A pin (non-inverting) → J5-C10 → 3ft cable → 124Ω
TR43_EXT_SYNC,TR43_EXT_SYNC_N,N,U49,U49-7,J5-C11,Load R-2,103.9,120.0,257.7,4.62,1.812,3.0,2.624,-0.0,14.93,16.08,0.8,0.2,2.651,-0.006,-0.7477,25.85,124.0,62.0,B pin (inverting) → J5-C11 → 3ft cable → 124Ω
