diff_pair_name,net_name,leg,driver_refdes,driver_pin,connector_pin,load_label,z0_pcb,z0_cable,delay_pcb_ps,delay_cable_ns,length_pcb_in,cable_length_ft,voh,vol,rise_time_ns,fall_time_ns,overshoot_pct,undershoot_pct,peak_v,trough_v,gamma_source,settling_time_ns,r_term_diff,r_term_se,notes
TR0_EXT_SYNC,TR0_EXT_SYNC_P,P,U128,U128-6,J0-C1,Load R-1,104.3,120.0,214.7,4.62,1.515,3.0,2.637,0.021,14.82,15.98,0.0,0.2,2.626,0.015,-0.7485,25.71,124.0,62.0,A pin (non-inverting) → J0-C1 → 3ft cable → 124Ω
TR0_EXT_SYNC,TR0_EXT_SYNC_N,N,U128,U128-7,J0-C2,Load R-2,104.3,120.0,214.7,4.62,1.515,3.0,2.63,0.004,14.86,15.83,0.6,0.0,2.65,0.016,-0.7485,25.71,124.0,62.0,B pin (inverting) → J0-C2 → 3ft cable → 124Ω
TR1_EXT_SYNC,TR1_EXT_SYNC_P,P,U125,U125-6,J0-C4,Load R-1,104.6,120.0,181.5,4.62,1.285,3.0,2.648,-0.012,14.61,15.82,0.3,0.0,2.658,0.022,-0.7492,25.59,124.0,62.0,A pin (non-inverting) → J0-C4 → 3ft cable → 124Ω
TR1_EXT_SYNC,TR1_EXT_SYNC_N,N,U125,U125-7,J0-C5,Load R-2,104.6,120.0,181.5,4.62,1.285,3.0,2.649,0.011,14.76,16.06,0.3,0.0,2.66,0.013,-0.7492,25.59,124.0,62.0,B pin (inverting) → J0-C5 → 3ft cable → 124Ω
TR2_EXT_SYNC,TR2_EXT_SYNC_P,P,U119,U119-6,J0-C7,Load R-1,104.4,120.0,204.8,4.62,1.447,3.0,2.647,0.014,14.66,16.09,0.0,0.4,2.631,0.002,-0.7487,25.69,124.0,62.0,A pin (non-inverting) → J0-C7 → 3ft cable → 124Ω
TR2_EXT_SYNC,TR2_EXT_SYNC_N,N,U119,U119-7,J0-C8,Load R-2,104.4,120.0,204.8,4.62,1.447,3.0,2.641,-0.013,14.75,15.84,0.0,0.0,2.641,0.006,-0.7487,25.69,124.0,62.0,B pin (inverting) → J0-C8 → 3ft cable → 124Ω
TR3_EXT_SYNC,TR3_EXT_SYNC_P,P,U113,U113-6,J0-C10,Load R-1,103.9,120.0,257.8,4.62,1.813,3.0,2.623,0.021,14.68,15.88,0.5,0.8,2.64,-0.005,-0.7477,25.85,124.0,62.0,A pin (non-inverting) → J0-C10 → 3ft cable → 124Ω
TR3_EXT_SYNC,TR3_EXT_SYNC_N,N,U113,U113-7,J0-C11,Load R-2,103.9,120.0,257.8,4.62,1.813,3.0,2.628,-0.01,14.69,15.98,1.0,0.0,2.662,0.026,-0.7477,25.85,124.0,62.0,B pin (inverting) → J0-C11 → 3ft cable → 124Ω
TR4_EXT_SYNC,TR4_EXT_SYNC_P,P,U106,U106-6,J0-B11,Load R-1,103.4,120.0,334.1,4.62,2.34,3.0,2.66,-0.002,14.85,16.26,0.0,0.0,2.638,-0.0,-0.7466,26.1,124.0,62.0,A pin (non-inverting) → J0-B11 → 3ft cable → 124Ω
TR4_EXT_SYNC,TR4_EXT_SYNC_N,N,U106,U106-7,J0-B10,Load R-2,103.4,120.0,334.1,4.62,2.34,3.0,2.638,0.015,15.05,16.02,0.0,0.7,2.627,-0.007,-0.7466,26.1,124.0,62.0,B pin (inverting) → J0-B10 → 3ft cable → 124Ω
TR5_EXT_SYNC,TR5_EXT_SYNC_P,P,U111,U111-6,J0-B7,Load R-1,103.6,120.0,254.9,4.62,1.795,3.0,2.624,-0.005,14.92,16.12,1.1,0.2,2.66,-0.01,-0.747,25.83,124.0,62.0,A pin (non-inverting) → J0-B7 → 3ft cable → 124Ω
TR5_EXT_SYNC,TR5_EXT_SYNC_N,N,U111,U111-7,J0-B8,Load R-2,103.6,120.0,254.9,4.62,1.795,3.0,2.663,0.002,14.93,16.04,0.0,0.2,2.636,-0.005,-0.747,25.83,124.0,62.0,B pin (inverting) → J0-B8 → 3ft cable → 124Ω
TR6_EXT_SYNC,TR6_EXT_SYNC_P,P,U118,U118-6,J0-B4,Load R-1,104.0,120.0,228.6,4.62,1.613,3.0,2.656,0.024,14.76,15.98,0.0,0.6,2.636,0.003,-0.7479,25.75,124.0,62.0,A pin (non-inverting) → J0-B4 → 3ft cable → 124Ω
TR6_EXT_SYNC,TR6_EXT_SYNC_N,N,U118,U118-7,J0-B5,Load R-2,104.0,120.0,228.6,4.62,1.613,3.0,2.624,0.006,14.83,15.91,0.6,0.0,2.645,0.024,-0.7479,25.75,124.0,62.0,B pin (inverting) → J0-B5 → 3ft cable → 124Ω
TR7_EXT_SYNC,TR7_EXT_SYNC_P,P,U120,U120-6,J0-B2,Load R-1,103.8,120.0,261.8,4.62,1.842,3.0,2.638,-0.004,14.95,16.12,0.7,0.0,2.663,-0.003,-0.7475,25.87,124.0,62.0,A pin (non-inverting) → J0-B2 → 3ft cable → 124Ω
TR7_EXT_SYNC,TR7_EXT_SYNC_N,N,U120,U120-7,J0-B1,Load R-2,103.8,120.0,261.8,4.62,1.842,3.0,2.645,0.015,14.85,15.89,0.0,0.0,2.645,0.015,-0.7475,25.87,124.0,62.0,B pin (inverting) → J0-B1 → 3ft cable → 124Ω
TR8_EXT_SYNC,TR8_EXT_SYNC_P,P,U55,U55-6,J1-C1,Load R-1,104.3,120.0,214.7,4.62,1.515,3.0,2.66,-0.01,14.74,16.1,0.0,0.0,2.656,0.016,-0.7485,25.71,124.0,62.0,A pin (non-inverting) → J1-C1 → 3ft cable → 124Ω
TR8_EXT_SYNC,TR8_EXT_SYNC_N,N,U55,U55-7,J1-C2,Load R-2,104.3,120.0,214.7,4.62,1.515,3.0,2.641,0.003,14.77,15.83,0.2,0.4,2.648,-0.01,-0.7485,25.71,124.0,62.0,B pin (inverting) → J1-C2 → 3ft cable → 124Ω
TR9_EXT_SYNC,TR9_EXT_SYNC_P,P,U58,U58-6,J1-C4,Load R-1,104.6,120.0,181.5,4.62,1.285,3.0,2.636,0.012,14.69,15.8,0.0,0.0,2.634,0.019,-0.7492,25.59,124.0,62.0,A pin (non-inverting) → J1-C4 → 3ft cable → 124Ω
TR9_EXT_SYNC,TR9_EXT_SYNC_N,N,U58,U58-7,J1-C5,Load R-2,104.6,120.0,181.5,4.62,1.285,3.0,2.658,0.009,14.55,16.0,0.0,0.0,2.628,0.019,-0.7492,25.59,124.0,62.0,B pin (inverting) → J1-C5 → 3ft cable → 124Ω
TR10_EXT_SYNC,TR10_EXT_SYNC_P,P,U64,U64-6,J1-C7,Load R-1,104.4,120.0,204.8,4.62,1.447,3.0,2.639,0.022,14.72,15.97,0.0,0.8,2.636,-0.003,-0.7487,25.69,124.0,62.0,A pin (non-inverting) → J1-C7 → 3ft cable → 124Ω
TR10_EXT_SYNC,TR10_EXT_SYNC_N,N,U64,U64-7,J1-C8,Load R-2,104.4,120.0,204.8,4.62,1.447,3.0,2.648,0.008,14.6,15.89,0.0,0.2,2.649,0.001,-0.7487,25.69,124.0,62.0,B pin (inverting) → J1-C8 → 3ft cable → 124Ω
TR11_EXT_SYNC,TR11_EXT_SYNC_P,P,U66,U66-6,J1-C10,Load R-1,103.9,120.0,257.8,4.62,1.813,3.0,2.654,0.008,14.76,16.1,0.1,0.0,2.658,0.016,-0.7477,25.85,124.0,62.0,A pin (non-inverting) → J1-C10 → 3ft cable → 124Ω
TR11_EXT_SYNC,TR11_EXT_SYNC_N,N,U66,U66-7,J1-C11,Load R-2,103.9,120.0,257.8,4.62,1.813,3.0,2.631,0.024,14.88,16.0,0.0,0.8,2.628,-0.003,-0.7477,25.85,124.0,62.0,B pin (inverting) → J1-C11 → 3ft cable → 124Ω
TR12_EXT_SYNC,TR12_EXT_SYNC_P,P,U62,U62-6,J1-B11,Load R-1,103.5,120.0,301.0,4.62,2.112,3.0,2.63,0.0,14.86,16.11,0.3,0.0,2.638,0.02,-0.7468,25.98,124.0,62.0,A pin (non-inverting) → J1-B11 → 3ft cable → 124Ω
TR12_EXT_SYNC,TR12_EXT_SYNC_N,N,U62,U62-7,J1-B10,Load R-2,103.5,120.0,301.0,4.62,2.112,3.0,2.65,0.006,15.02,16.03,0.0,0.0,2.645,0.01,-0.7468,25.98,124.0,62.0,B pin (inverting) → J1-B10 → 3ft cable → 124Ω
